Journal,ISSN,Included in R&P Agreement,Explanation if not included,DOI,Publisher
Journal of Business Cycle Research,2509-7970,Yes,,,Springer Nature (Springer)
Journal of Business Economics,1861-8928,Yes,,,Springer Nature (Springer)
Journal of Business Ethics,1573-0697,Yes,,,Springer Nature (Springer)
Journal of Cancer Education,1543-0154,Yes,,,Springer Nature (Springer)
Journal of Cancer Research and Clinical Oncology,1432-1335,Yes,,,Springer Nature (Springer)
Journal of Cancer Survivorship,1932-2267,Yes,,,Springer Nature (Springer)
Journal of Cardiovascular Translational Research,1937-5395,Yes,,,Springer Nature (Springer)
Journal of Cell Communication and Signaling,1873-961X,Yes,,,Springer Nature (Springer)
Journal of Central South University,2227-5223,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Journal of Chemical Crystallography,1572-8854,Yes,,,Springer Nature (Springer)
Journal of Chemical Ecology,1573-1561,Yes,,,Springer Nature (Springer)
Journal of Chemical Sciences,0973-7103,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Journal of Child & Adolescent Trauma,1936-153X,Yes,,,Springer Nature (Springer)
Journal of Child and Family Studies,1573-2843,Yes,,,Springer Nature (Springer)
Journal of Chinese Political Science,1874-6357,Yes,,,Springer Nature (Springer)
Journal of Civil Structural Health Monitoring,2190-5479,Yes,,,Springer Nature (Springer)
Journal of Classification,1432-1343,Yes,,,Springer Nature (Springer)
Journal of Clinical Immunology,1573-2592,Yes,,,Springer Nature (Springer)
Journal of Clinical Monitoring and Computing,1573-2614,Yes,,,Springer Nature (Springer)
Journal of Clinical Psychology in Medical Settings,1573-3572,Yes,,,Springer Nature (Springer)
Journal of Cluster Science,1572-8862,Yes,,,Springer Nature (Springer)
Journal of Coastal Conservation,1874-7841,Yes,,,Springer Nature (Springer)
Journal of Coatings Technology and Research,1935-3804,Yes,,,Springer Nature (Springer)
Journal of Cognitive Enhancement,2509-3304,Yes,,,Springer Nature (Springer)
Journal of Combinatorial Optimization,1573-2886,Yes,,,Springer Nature (Springer)
Journal of Communications Technology and Electronics,1555-6557,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Journal of Community Genetics,1868-6001,Yes,,,Springer Nature (Springer)
Journal of Community Health,1573-3610,Yes,,,Springer Nature (Springer)
Journal of Comparative Physiology A,1432-1351,Yes,,,Springer Nature (Springer)
Journal of Comparative Physiology B,1432-136X,Yes,,,Springer Nature (Springer)
Journal of Computational Electronics,1572-8137,Yes,,,Springer Nature (Springer)
Journal of Computational Neuroscience,1573-6873,Yes,,,Springer Nature (Springer)
Journal of Computational Social Science,2432-2725,Yes,,,Springer Nature (Springer)
Journal of Computer and Systems Sciences International,1555-6530,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Journal of Computer Science and Technology,1860-4749,Yes,,,Springer Nature (Springer)
Journal of Computer Virology and Hacking Techniques,2263-8733,Yes,,,Springer Nature (Springer)
Journal of Computer-Aided Molecular Design,1573-4951,Yes,,,Springer Nature (Springer)
Journal of Computers in Education,2197-9995,Yes,,,Springer Nature (Springer)
Journal of Computing in Higher Education,1867-1233,Yes,,,Springer Nature (Springer)
Journal of Consumer Policy,1573-0700,Yes,,,Springer Nature (Springer)
Journal of Consumer Protection and Food Safety,1661-5867,Yes,,,Springer Nature (Springer)
Journal of Contemporary Mathematical Analysis (Armenian Academy of Sciences),1934-9416,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Journal of Contemporary Physics (Armenian Academy of Sciences),1934-9378,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Journal of Contemporary Psychotherapy,1573-3564,Yes,,,Springer Nature (Springer)
"Journal of Control, Automation and Electrical Systems",2195-3899,Yes,,,Springer Nature (Springer)
Journal of Crop Science and Biotechnology,2005-8276,Yes,,,Springer Nature (Springer)
Journal of Cross-Cultural Gerontology,1573-0719,Yes,,,Springer Nature (Springer)
Journal of Cryptographic Engineering,2190-8516,Yes,,,Springer Nature (Springer)
Journal of Cryptology,1432-1378,Yes,,,Springer Nature (Springer)
Journal of Cultural Cognitive Science,2520-1018,Yes,,,Springer Nature (Springer)
Journal of Cultural Economics,1573-6997,Yes,,,Springer Nature (Springer)
"Journal of Data, Information and Management",2524-6364,Yes,,,Springer Nature (Springer)
Journal of Developmental and Life-Course Criminology,2199-465X,Yes,,,Springer Nature (Springer)
Journal of Developmental and Physical Disabilities,1573-3580,Yes,,,Springer Nature (Springer)
Journal of Dharma Studies,2522-0934,Yes,,,Springer Nature (Springer)
Journal of Diabetes & Metabolic Disorders,2251-6581,Yes,,,Springer Nature (Springer)
Journal of Digital Imaging,1618-727X,Yes,,,Springer Nature (Springer)
Journal of Dynamic Behavior of Materials,2199-7454,Yes,,,Springer Nature (Springer)
Journal of Dynamical and Control Systems,1573-8698,Yes,,,Springer Nature (Springer)
Journal of Dynamics and Differential Equations,1572-9222,Yes,,,Springer Nature (Springer)
Journal of Earth Science,1867-111X,Yes,,,Springer Nature (Springer)
Journal of Earth System Science,0973-774X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Journal of East Asian Linguistics,1572-8560,Yes,,,Springer Nature (Springer)
Journal of Echocardiography,1880-344X,Yes,,,Springer Nature (Springer)
Journal of Economic Growth,1573-7020,Yes,,,Springer Nature (Springer)
Journal of Economic Interaction and Coordination,1860-7128,Yes,,,Springer Nature (Springer)
Journal of Economics,1617-7134,Yes,,,Springer Nature (Springer)
Journal of Economics and Finance,1938-9744,Yes,,,Springer Nature (Springer)
"Journal of Economics, Race, and Policy",2520-842X,Yes,,,Springer Nature (Springer)
Journal of Educational Change,1573-1812,Yes,,,Springer Nature (Springer)
Journal of Elasticity,1573-2681,Yes,,,Springer Nature (Springer)
Journal of Electrical Engineering & Technology,2093-7423,Yes,,,Springer Nature (Springer)
Journal of Electroceramics,1573-8663,Yes,,,Springer Nature (Springer)
Journal of Electronic Materials,1543-186X,Yes,,,Springer Nature (Springer)
Journal of Electronic Testing,1573-0727,Yes,,,Springer Nature (Springer)
Journal of Elliptic and Parabolic Equations,2296-9039,Yes,,,Springer Nature (Springer)
Journal of Endocrinological Investigation,1720-8386,Yes,,,Springer Nature (Springer)
Journal of Engineering Mathematics,1573-2703,Yes,,,Springer Nature (Springer)
Journal of Engineering Physics and Thermophysics,1573-871X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Journal of Engineering Thermophysics,1990-5432,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Journal of Environmental Health Science and Engineering,2052-336X,Yes,,,Springer Nature (Springer)
Journal of Environmental Studies and Sciences,2190-6491,Yes,,,Springer Nature (Springer)
Journal of Ethology,1439-5444,Yes,,,Springer Nature (Springer)
Journal of Evolution Equations,1424-3202,Yes,,,Springer Nature (Springer)
Journal of Evolutionary Biochemistry and Physiology,1608-3202,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Journal of Evolutionary Economics,1432-1386,Yes,,,Springer Nature (Springer)
Journal of Experimental and Theoretical Physics,1090-6509,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Journal of Experimental Criminology,1572-8315,Yes,,,Springer Nature (Springer)
Journal of Exposure Science & Environmental Epidemiology,1559-064X,Yes,,,Springer Nature (Academic Journals on Nature.com)
Journal of Failure Analysis and Prevention,1864-1245,Yes,,,Springer Nature (Springer)
Journal of Family and Economic Issues,1573-3475,Yes,,,Springer Nature (Springer)
Journal of Family Violence,1573-2851,Yes,,,Springer Nature (Springer)
Journal of Fetal Medicine,2348-8859,Yes,,,Springer Nature (Springer)
Journal of Financial Services Marketing,1479-1846,Yes,,,Springer Nature (Palgrave Macmillan)
Journal of Financial Services Research,1573-0735,Yes,,,Springer Nature (Springer)
Journal of Fixed Point Theory and Applications,1661-7746,Yes,,,Springer Nature (Springer)
Journal of Flow Chemistry,2063-0212,Yes,,,Springer Nature (Springer)
Journal of Fluorescence,1573-4994,Yes,,,Springer Nature (Springer)
Journal of Food Measurement and Characterization,2193-4134,Yes,,,Springer Nature (Springer)
Journal of Food Science and Technology,0975-8402,Yes,,,Springer Nature (Springer)
Journal of Forestry Research,1993-0607,Yes,,,Springer Nature (Springer)
Journal of Formative Design in Learning,2509-8039,Yes,,,Springer Nature (Springer)
Journal of Fourier Analysis and Applications,1531-5851,Yes,,,Springer Nature (Springer)
Journal of Friction and Wear,1934-9386,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Journal of Fusion Energy,1572-9591,Yes,,,Springer Nature (Springer)
Journal of Gambling Studies,1573-3602,Yes,,,Springer Nature (Springer)
Journal of Gastroenterology,1435-5922,Yes,,,Springer Nature (Springer)
Journal of Gastrointestinal Cancer,1941-6636,Yes,,,Springer Nature (Springer)
Journal of Gastrointestinal Surgery,1873-4626,Yes,,,Springer Nature (Springer)
Journal of General Internal Medicine,1525-1497,Yes,,,Springer Nature (Springer)
Journal of General Plant Pathology,1610-739X,Yes,,,Springer Nature (Springer)
Journal of Genetics,0973-7731,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Journal of Geodesy,1432-1394,Yes,,,Springer Nature (Springer)
Journal of Geographical Sciences,1861-9568,Yes,,,Springer Nature (Springer)
Journal of Geographical Systems,1435-5949,Yes,,,Springer Nature (Springer)
Journal of Geometry,1420-8997,Yes,,,Springer Nature (Springer)
Journal of Geovisualization and Spatial Analysis,2509-8829,Yes,,,Springer Nature (Springer)
Journal of Global Entrepreneurship Research,2251-7316,Yes,,,Springer Nature (Springer)
Journal of Global Optimization,1573-2916,Yes,,,Springer Nature (Springer)
Journal of Grid Computing,1572-9184,Yes,,,Springer Nature (Springer)
Journal of Happiness Studies,1573-7780,Yes,,,Springer Nature (Springer)
Journal of Hardware and Systems Security,2509-3436,Yes,,,Springer Nature (Springer)
Journal of Health Service Psychology,2662-2653,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Journal of Healthcare Informatics Research,2509-498X,Yes,,,Springer Nature (Springer)
Journal of Hematopathology,1865-5785,Yes,,,Springer Nature (Springer)
Journal of Heuristics,1572-9397,Yes,,,Springer Nature (Springer)
Journal of Homotopy and Related Structures,1512-2891,Yes,,,Springer Nature (Springer)
Journal of Housing and the Built Environment,1573-7772,Yes,,,Springer Nature (Springer)
Journal of Human Genetics,1435-232X,Yes,,,Springer Nature (Academic Journals on Nature.com)
Journal of Human Hypertension,1476-5527,Yes,,,Springer Nature (Academic Journals on Nature.com)
Journal of Human Rights and Social Work,2365-1792,Yes,,,Springer Nature (Springer)
Journal of Hydrodynamics,1878-0342,Yes,,,Springer Nature (Springer)
Journal of Iberian Geology,1886-7995,Yes,,,Springer Nature (Springer)
Journal of Ichthyology,1555-6425,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Journal of Immigrant and Minority Health,1557-1920,Yes,,,Springer Nature (Springer)
Journal of Inclusion Phenomena and Macrocyclic Chemistry,1573-1111,Yes,,,Springer Nature (Springer)
Journal of Indian Council of Philosophical Research,2363-9962,Yes,,,Springer Nature (Springer)
Journal of Indian Philosophy,1573-0395,Yes,,,Springer Nature (Springer)
Journal of Industrial and Business Economics,1972-4977,Yes,,,Springer Nature (Springer)
"Journal of Industry, Competition and Trade",1573-7012,Yes,,,Springer Nature (Springer)
"Journal of Infrared, Millimeter, and Terahertz Waves",1866-6906,Yes,,,Springer Nature (Springer)
Journal of Inorganic and Organometallic Polymers and Materials,1574-1451,Yes,,,Springer Nature (Springer)
Journal of Insect Behavior,1572-8889,Yes,,,Springer Nature (Springer)
Journal of Insect Conservation,1572-9753,Yes,,,Springer Nature (Springer)
Journal of Intelligent & Robotic Systems,1573-0409,Yes,,,Springer Nature (Springer)
Journal of Intelligent Information Systems,1573-7675,Yes,,,Springer Nature (Springer)
Journal of Intelligent Manufacturing,1572-8145,Yes,,,Springer Nature (Springer)
Journal of International Business Policy,2522-0705,Yes,,,Springer Nature (Palgrave Macmillan)
Journal of International Business Studies,1478-6990,Yes,,,Springer Nature (Palgrave Macmillan)
Journal of International Entrepreneurship,1573-7349,Yes,,,Springer Nature (Springer)
Journal of International Migration and Integration,1874-6365,Yes,,,Springer Nature (Springer)
Journal of International Relations and Development,1581-1980,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Palgrave Macmillan)
Journal of Interventional Cardiac Electrophysiology,1572-8595,Yes,,,Springer Nature (Springer)
Journal of Iron and Steel Research International,2210-3988,Yes,,,Springer Nature (Springer)
Journal of Labor Research,1936-4768,Yes,,,Springer Nature (Springer)
"Journal of Logic, Language and Information",1572-9583,Yes,,,Springer Nature (Springer)
Journal of Low Temperature Physics,1573-7357,Yes,,,Springer Nature (Springer)
Journal of Machinery Manufacture and Reliability,1934-9394,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Journal of Mammalian Evolution,1573-7055,Yes,,,Springer Nature (Springer)
Journal of Mammary Gland Biology and Neoplasia,1573-7039,Yes,,,Springer Nature (Springer)
Journal of Management and Governance,1572-963X,Yes,,,Springer Nature (Springer)
Journal of Management Control,2191-477X,Yes,,,Springer Nature (Springer)
Journal of Marine Science and Application,1993-5048,Yes,,,Springer Nature (Springer)
Journal of Marine Science and Technology,1437-8213,Yes,,,Springer Nature (Springer)
Journal of Maritime Archaeology,1557-2293,Yes,,,Springer Nature (Springer)
Journal of Marketing Analytics,2050-3326,Yes,,,Springer Nature (Palgrave Macmillan)
Journal of Material Cycles and Waste Management,1611-8227,Yes,,,Springer Nature (Springer)
Journal of Materials Engineering and Performance,1544-1024,Yes,,,Springer Nature (Springer)
Journal of Materials Research,2044-5326,Yes,,,Springer Nature (Springer)
Journal of Materials Science,1573-4803,Yes,,,Springer Nature (Springer)
Journal of Materials Science: Materials in Electronics,1573-482X,Yes,,,Springer Nature (Springer)
Journal of Mathematical Biology,1432-1416,Yes,,,Springer Nature (Springer)
Journal of Mathematical Chemistry,1572-8897,Yes,,,Springer Nature (Springer)
Journal of Mathematical Fluid Mechanics,1422-6952,Yes,,,Springer Nature (Springer)
Journal of Mathematical Imaging and Vision,1573-7683,Yes,,,Springer Nature (Springer)
Journal of Mathematical Sciences,1573-8795,Yes,,,Springer Nature (Springer)
Journal of Mathematics Teacher Education,1573-1820,Yes,,,Springer Nature (Springer)
Journal of Maxillofacial and Oral Surgery,0974-942X,Yes,,,Springer Nature (Springer)
Journal of Mechanical Science and Technology,1976-3824,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Journal of Medical and Biological Engineering,2199-4757,Yes,,,Springer Nature (Springer)
Journal of Medical Humanities,1573-3645,Yes,,,Springer Nature (Springer)
Journal of Medical Systems,1573-689X,Yes,,,Springer Nature (Springer)
Journal of Medical Toxicology,1937-6995,Yes,,,Springer Nature (Springer)
Journal of Medical Ultrasonics,1613-2254,Yes,,,Springer Nature (Springer)
Journal of Membrane Computing,2523-8914,Yes,,,Springer Nature (Springer)
Journal of Meteorological Research,2198-0934,Yes,,,Springer Nature (Springer)
Journal of Micro-Bio Robotics,2194-6426,Yes,,,Springer Nature (Springer)
Journal of Microbiology,1976-3794,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Journal of Mining Science,1573-8736,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Journal of Molecular Evolution,1432-1432,Yes,,,Springer Nature (Springer)
Journal of Molecular Histology,1567-2387,Yes,,,Springer Nature (Springer)
Journal of Molecular Medicine,1432-1440,Yes,,,Springer Nature (Springer)
Journal of Molecular Modeling,0948-5023,Yes,,,Springer Nature (Springer)
Journal of Molecular Neuroscience,1559-1166,Yes,,,Springer Nature (Springer)
Journal of Mountain Science,1993-0321,Yes,,,Springer Nature (Springer)
Journal of Muscle Research and Cell Motility,1573-2657,Yes,,,Springer Nature (Springer)
Journal of Nanoparticle Research,1572-896X,Yes,,,Springer Nature (Springer)
Journal of Nanostructure in Chemistry,2193-8865,Yes,,,Springer Nature (Springer)
Journal of Natural Medicines,1861-0293,Yes,,,Springer Nature (Springer)
Journal of Nephrology,1724-6059,Yes,,,Springer Nature (Springer)
Journal of Network and Systems Management,1573-7705,Yes,,,Springer Nature (Springer)
Journal of Neural Transmission,1435-1463,Yes,,,Springer Nature (Springer)
Journal of Neuro-Oncology,1573-7373,Yes,,,Springer Nature (Springer)
Journal of Neuroimmune Pharmacology,1557-1904,Yes,,,Springer Nature (Springer)
Journal of Neurology,1432-1459,Yes,,,Springer Nature (Springer)
Journal of NeuroVirology,1538-2443,Yes,,,Springer Nature (Springer)
Journal of Nondestructive Evaluation,1573-4862,Yes,,,Springer Nature (Springer)
Journal of Nonlinear Science,1432-1467,Yes,,,Springer Nature (Springer)
Journal of Nonverbal Behavior,1573-3653,Yes,,,Springer Nature (Springer)
Journal of Nuclear Cardiology,1532-6551,Yes,,,Springer Nature (Springer)
Journal of Occupational Rehabilitation,1573-3688,Yes,,,Springer Nature (Springer)
Journal of Ocean Engineering and Marine Energy,2198-6452,Yes,,,Springer Nature (Springer)
Journal of Ocean University of China,1993-5021,Yes,,,Springer Nature (Springer)
Journal of Oceanography,1573-868X,Yes,,,Springer Nature (Springer)
Journal of Oceanology and Limnology,2523-3521,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Journal of Optics,0974-6900,Yes,,,Springer Nature (Springer)
Journal of Optimization Theory and Applications,1573-2878,Yes,,,Springer Nature (Springer)
Journal of Organization Design,2245-408X,Yes,,,Springer Nature (Springer)
Journal of Ornithology,2193-7206,Yes,,,Springer Nature (Springer)
Journal of Orofacial Orthopedics / Fortschritte der Kieferorthopädie,1615-6714,Yes,,,Springer Nature (Springer)
Journal of Outdoor and Environmental Education,2522-879X,Yes,,,Springer Nature (Springer)
Journal of Packaging Technology and Research,2520-1042,Yes,,,Springer Nature (Springer)
Journal of Paleolimnology,1573-0417,Yes,,,Springer Nature (Springer)
Journal of Paleolithic Archaeology,2520-8217,Yes,,,Springer Nature (Springer)
Journal of Parasitic Diseases,0975-0703,Yes,,,Springer Nature (Springer)
Journal of Pediatric Endoscopic Surgery,2524-7883,Yes,,,Springer Nature (Springer)
Journal of Pediatric Neuropsychology,2199-2673,Yes,,,Springer Nature (Springer)
Journal of Peridynamics and Nonlocal Modeling,2522-8978,Yes,,,Springer Nature (Springer)
Journal of Perinatology,1476-5543,Yes,,,Springer Nature (Academic Journals on Nature.com)
Journal of Pest Science,1612-4766,Yes,,,Springer Nature (Springer)
Journal of Pharmaceutical Innovation,1939-8042,Yes,,,Springer Nature (Springer)
Journal of Pharmaceutical Investigation,2093-6214,Yes,,,Springer Nature (Springer)
Journal of Pharmacokinetics and Pharmacodynamics,1573-8744,Yes,,,Springer Nature (Springer)
Journal of Phase Equilibria and Diffusion,1863-7345,Yes,,,Springer Nature (Springer)
Journal of Philosophical Logic,1573-0433,Yes,,,Springer Nature (Springer)
Journal of Physiology and Biochemistry,1877-8755,Yes,,,Springer Nature (Springer)
Journal of Plant Biochemistry and Biotechnology,0974-1275,Yes,,,Springer Nature (Springer)
Journal of Plant Biology,1867-0725,Yes,,,Springer Nature (Springer)
Journal of Plant Diseases and Protection,1861-3837,Yes,,,Springer Nature (Springer)
Journal of Plant Growth Regulation,1435-8107,Yes,,,Springer Nature (Springer)
Journal of Plant Pathology,2239-7264,Yes,,,Springer Nature (Springer)
Journal of Plant Research,1618-0860,Yes,,,Springer Nature (Springer)
Journal of Police and Criminal Psychology,1936-6469,Yes,,,Springer Nature (Springer)
Journal of Policy Practice and Research,2662-1517,Yes,,,Springer Nature (Springer)
Journal of Polymer Research,1572-8935,Yes,,,Springer Nature (Springer)
Journal of Polymers and the Environment,1572-8919,Yes,,,Springer Nature (Springer)
Journal of Population Ageing,1874-7876,Yes,,,Springer Nature (Springer)
Journal of Population Economics,1432-1475,Yes,,,Springer Nature (Springer)
Journal of Population Research,1835-9469,Yes,,,Springer Nature (Springer)
Journal of Porous Materials,1573-4854,Yes,,,Springer Nature (Springer)
Journal of Power Electronics,2093-4718,Yes,,,Springer Nature (Springer)
Journal of Productivity Analysis,1573-0441,Yes,,,Springer Nature (Springer)
Journal of Proteins and Proteomics,2524-4663,Yes,,,Springer Nature (Springer)
Journal of Pseudo-Differential Operators and Applications,1662-999X,Yes,,,Springer Nature (Springer)
Journal of Psycholinguistic Research,1573-6555,Yes,,,Springer Nature (Springer)
Journal of Psychopathology and Behavioral Assessment,1573-3505,Yes,,,Springer Nature (Springer)
Journal of Psychosocial Rehabilitation and Mental Health,2198-963X,Yes,,,Springer Nature (Springer)
Journal of Public Health,1613-2238,Yes,,,Springer Nature (Springer)
Journal of Public Health Policy,1745-655X,Yes,,,Springer Nature (Palgrave Macmillan)
Journal of Quantitative Criminology,1573-7799,Yes,,,Springer Nature (Springer)
Journal of Quantitative Economics,2364-1045,Yes,,,Springer Nature (Springer)
Journal of Racial and Ethnic Health Disparities,2196-8837,Yes,,,Springer Nature (Springer)
Journal of Radioanalytical and Nuclear Chemistry,1588-2780,Yes,,,Springer Nature (Springer)
Journal of Rational-Emotive & Cognitive-Behavior Therapy,1573-6563,Yes,,,Springer Nature (Springer)
Journal of Real-Time Image Processing,1861-8219,Yes,,,Springer Nature (Springer)
Journal of Regulatory Economics,1573-0468,Yes,,,Springer Nature (Springer)
Journal of Reliable Intelligent Environments,2199-4676,Yes,,,Springer Nature (Springer)
Journal of Religion and Health,1573-6571,Yes,,,Springer Nature (Springer)
Journal of Religious Education,2199-4625,Yes,,,Springer Nature (Springer)
Journal of Remanufacturing,2210-4690,Yes,,,Springer Nature (Springer)
Journal of Revenue and Pricing Management,1477-657X,Yes,,,Springer Nature (Palgrave Macmillan)
Journal of Risk and Uncertainty,1573-0476,Yes,,,Springer Nature (Springer)
Journal of Robotic Surgery,1863-2491,Yes,,,Springer Nature (Springer)
Journal of Rubber Research,2524-3993,Yes,,,Springer Nature (Springer)
Journal of Russian Laser Research,1573-8760,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Journal of Scheduling,1099-1425,Yes,,,Springer Nature (Springer)
Journal of Science Education and Technology,1573-1839,Yes,,,Springer Nature (Springer)
Journal of Science in Sport and Exercise,2662-1371,Yes,,,Springer Nature (Springer)
Journal of Scientific Computing,1573-7691,Yes,,,Springer Nature (Springer)
Journal of Sedimentary Environments,2447-9462,Yes,,,Springer Nature (Springer)
Journal of Seismology,1573-157X,Yes,,,Springer Nature (Springer)
Journal of Shanghai Jiaotong University (Science),1995-8188,Yes,,,Springer Nature (Springer)
Journal of Signal Processing Systems,1939-8115,Yes,,,Springer Nature (Springer)
Journal of Social and Economic Development,2199-6873,Yes,,,Springer Nature (Springer)
Journal of Soil Science and Plant Nutrition,0718-9516,Yes,,,Springer Nature (Springer)
Journal of Soils and Sediments,1614-7480,Yes,,,Springer Nature (Springer)
Journal of Sol-Gel Science and Technology,1573-4846,Yes,,,Springer Nature (Springer)
Journal of Solid State Electrochemistry,1433-0768,Yes,,,Springer Nature (Springer)
Journal of Solution Chemistry,1572-8927,Yes,,,Springer Nature (Springer)
Journal of Spatial Econometrics,2662-298X,Yes,,,Springer Nature (Springer)
Journal of Statistical Physics,1572-9613,Yes,,,Springer Nature (Springer)
Journal of Statistical Theory and Practice,1559-8616,Yes,,,Springer Nature (Springer)
Journal of Structural Chemistry,1573-8779,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Journal of Superconductivity and Novel Magnetism,1557-1947,Yes,,,Springer Nature (Springer)
Journal of Superhard Materials,1934-9408,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
"Journal of Surface Investigation: X-ray, Synchrotron and Neutron Techniques",1819-7094,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Journal of Sustainable Metallurgy,2199-3831,Yes,,,Springer Nature (Springer)
Journal of Systems Science and Complexity,1559-7067,Yes,,,Springer Nature (Springer)
Journal of Systems Science and Systems Engineering,1861-9576,Yes,,,Springer Nature (Springer)
Journal of Technology in Behavioral Science,2366-5963,Yes,,,Springer Nature (Springer)
Journal of the Academy of Marketing Science,1552-7824,Yes,,,Springer Nature (Springer)
Journal of the Association for Research in Otolaryngology,1438-7573,Yes,,,Springer Nature (Springer)
Journal of the Australian Ceramic Society,2510-1579,Yes,,,Springer Nature (Springer)
Journal of the Brazilian Society of Mechanical Sciences and Engineering,1806-3691,Yes,,,Springer Nature (Springer)
Journal of the Economic Science Association,2199-6776,Yes,,,Springer Nature (Springer)
Journal of the Geological Society of India,0974-6889,Yes,,,Springer Nature (Springer)
Journal of the History of Biology,1573-0387,Yes,,,Springer Nature (Springer)
Journal of the Indian Academy of Wood Science,0976-8432,Yes,,,Springer Nature (Springer)
Journal of the Indian Institute of Science,0019-4964,Yes,,,Springer Nature (Springer)
Journal of the Indian Society for Probability and Statistics,2364-9569,Yes,,,Springer Nature (Springer)
Journal of the Indian Society of Remote Sensing,0974-3006,Yes,,,Springer Nature (Springer)
Journal of The Institution of Engineers (India): Series A,2250-2157,Yes,,,Springer Nature (Springer)
Journal of The Institution of Engineers (India): Series B,2250-2114,Yes,,,Springer Nature (Springer)
Journal of The Institution of Engineers (India): Series C,2250-0553,Yes,,,Springer Nature (Springer)
Journal of The Institution of Engineers (India): Series D,2250-2130,Yes,,,Springer Nature (Springer)
Journal of The Institution of Engineers (India): Series E,2250-2491,Yes,,,Springer Nature (Springer)
Journal of the Iranian Chemical Society,1735-2428,Yes,,,Springer Nature (Springer)
Journal of the Knowledge Economy,1868-7873,Yes,,,Springer Nature (Springer)
Journal of the Korean Ceramic Society,2234-0491,Yes,,,Springer Nature (Springer)
Journal of the Korean Physical Society,1976-8524,Yes,,,Springer Nature (Springer)
Journal of the Korean Statistical Society,2005-2863,Yes,,,Springer Nature (Springer)
Journal of the Operations Research Society of China,2194-6698,Yes,,,Springer Nature (Springer)
Journal of Theoretical Probability,1572-9230,Yes,,,Springer Nature (Springer)
Journal of Thermal Analysis and Calorimetry,1588-2926,Yes,,,Springer Nature (Springer)
Journal of Thermal Science,1993-033X,Yes,,,Springer Nature (Springer)
Journal of Thermal Spray Technology,1544-1016,Yes,,,Springer Nature (Springer)
Journal of Thrombosis and Thrombolysis,1573-742X,Yes,,,Springer Nature (Springer)
Journal of Transatlantic Studies,1754-1018,Yes,,,Springer Nature (Palgrave Macmillan)
Journal of Transportation Security,1938-775X,Yes,,,Springer Nature (Springer)
Journal of Ultrasound,1876-7931,Yes,,,Springer Nature (Springer)
Journal of Urban Health,1468-2869,Yes,,,Springer Nature (Springer)
Journal of Vibration Engineering & Technologies,2523-3939,Yes,,,Springer Nature (Springer)
Journal of Visualization,1875-8975,Yes,,,Springer Nature (Springer)
Journal of Volcanology and Seismology,1819-7108,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Journal of Water Chemistry and Technology,1934-936X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Journal of World Prehistory,1573-7802,Yes,,,Springer Nature (Springer)
Journal of Wuhan University of Technology-Mater. Sci. Ed.,1993-0437,Yes,,,Springer Nature (Springer)
Journal of Youth and Adolescence,1573-6601,Yes,,,Springer Nature (Springer)
Journal of Zhejiang University-SCIENCE A,1862-1775,Yes,,,Springer Nature (Springer)
Journal of Zhejiang University-SCIENCE B,1862-1783,Yes,,,Springer Nature (Springer)
Journal on Multimodal User Interfaces,1783-8738,Yes,,,Springer Nature (Springer)
JPC – Journal of Planar Chromatography – Modern TLC,1789-0993,Yes,,,Springer Nature (Springer)
Jus Cogens,2524-3985,Yes,,,Springer Nature (Springer)
Keramische Zeitschrift,2523-8949,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Kew Bulletin,1874-933X,Yes,,,Springer Nature (Springer)
KI - Künstliche Intelligenz,1610-1987,Yes,,,Springer Nature (Springer)
