Journal,ISSN,Included in R&P Agreement,Explanation if not included,DOI,Publisher
Neurobiology of Disease,0969-9961,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Neurobiology of Learning and Memory,1074-7427,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Neurobiology of Pain,2452-073X,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Neurobiology of Sleep and Circadian Rhythms,2451-9944,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Neurobiology of Stress,2352-2895,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Neurocase,1465-3656,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Neurochemical Journal,1819-7132,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Neurochemical Research,1573-6903,Yes,,,Springer Nature (Springer)
Neurochemistry International,0197-0186,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Neurochirurgie,0028-3770,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Neurocirugía,1130-1473,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Neurocirugía (English Edition),2529-8496,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Neurocomputing,0925-2312,Yes,,,Elsevier
Neurocritical Care,1556-0961,Yes,,,Springer Nature (Springer)
Neurodegenerative Disease Management, 1758-2032,Yes,,,Future Science
Neurodegenerative Diseases,,Yes,,,Karger
Neuroendocrinology,,Yes,,,Karger
Neuroepidemiology,,Yes,,,Karger
Neuroethics,1874-5504,Yes,,,Springer Nature (Springer)
Neuroforum,2363-7013,Yes,,,De Gruyter
neurogenetics,1364-6753,Yes,,,Springer Nature (Springer)
NeuroImage,1053-8119,No,Gold OA Title.  15% discount on APC charges,,Elsevier
NeuroImage: Clinical,2213-1582,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Neuroimage: Reports,2666-9560,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Neuroimmunology Reports,2667-257X,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Neuroimmunomodulation,,Yes,,,Karger
Neuroinformatics,1559-0089,Yes,,,Springer Nature (Springer)
Neurología,0213-4853,No,Society invoices APC - not on Elsevier systems,,Elsevier
Neurología (English Edition),2173-5808,No,Society invoices APC - not on Elsevier systems,,Elsevier
Neurología Argentina,1853-0028,No,No OA Option available. Subscription-only Journal,,Elsevier
Neurological Research,1743-1328,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Neurological Sciences,1590-3478,Yes,,,Springer Nature (Springer)
Neurology Perspectives,2667-0496,No,Society invoices APC - not on Elsevier systems,,Elsevier
Neuromodulation: Technology at the Neural Interface,1094-7159,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
NeuroMolecular Medicine,1559-1174,Yes,,,Springer Nature (Springer)
Neuromorphic Computing and Engineering,2634-4386,Yes,,,IOP
Neuromuscular Disorders,0960-8966,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Neuron,0896-6273,No,Cell Press and Lancet Title.  Open Access under the CAUL Agreement not included.  15% OA discount not included,,Elsevier
Neuronal Signaling (fully OA),2059-6553,Yes,,,Portland Press
Neuropeptides,0143-4179,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Neuropharmacology,0028-3908,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Neurophysiologie Clinique,0987-7053,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Neurophysiology,1573-9007,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Neuropsychiatric Disease and Treatment,1176-6328 ,No,Fully open access journal,,Taylor and Francis
neuropsychiatrie,2194-1327,Yes,,,Springer Nature (Springer)
Neuropsychiatrie de l'Enfance et de l'Adolescence,0222-9617,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Neuropsychoanalysis,2044-3978,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Neuropsychobiology,,Yes,,,Karger
Neuropsychologia,0028-3932,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Neuropsychological Rehabilitation,1464-0694,Yes,,,Taylor and Francis
Neuropsychology Review,1573-6660,Yes,,,Springer Nature (Springer)
Neuropsychopharmacology,1740-634X,Yes,,,Springer Nature (Academic Journals on Nature.com)
Neuroradiology,1432-1920,Yes,,,Springer Nature (Springer)
Neuroscience,0306-4522,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Neuroscience & Biobehavioral Reviews,0149-7634,Yes,,,Elsevier
Neuroscience and Behavioral Physiology,1573-899X,Yes,,,Springer Nature (Springer)
Neuroscience Applied,2772-4085,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Neuroscience Bulletin,1995-8218,Yes,,,Springer Nature (Springer)
Neuroscience Informatics,2772-5286,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Neuroscience Letters,0304-3940,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Neuroscience Research,0168-0102,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Neurosurgical Review,1437-2320,Yes,,,Springer Nature (Springer)
Neurotherapeutics,1878-7479,Yes,,,Springer Nature (Springer)
Neurotoxicity Research,1476-3524,Yes,,,Springer Nature (Springer)
NeuroToxicology,0161-813X,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Neurotoxicology and Teratology,0892-0362,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Neutron News,1931-7352,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
New Astronomy,1384-1076,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
New Astronomy Reviews,1387-6473,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
New Biotechnology,1871-6784,No,Gold OA Title.  15% discount on APC charges,,Elsevier
New Carbon Materials,1872-5805,No,No OA Option available. Subscription-only Journal,,Elsevier
New Forests,1573-5095,Yes,,,Springer Nature (Springer)
New Generation Computing,1882-7055,Yes,,,Springer Nature (Springer)
New Genetics and Society,1469-9915,No,Fully open access journal,,Taylor and Francis
New Global Studies,1940-0004,Yes,,,De Gruyter
New Ideas in Psychology,0732-118X,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
New Journal of Physics,1367-2630,Yes,,,IOP
New Microbes and New Infections,2052-2975,No,Gold OA Title.  15% discount on APC charges,,Elsevier
New Perspectives on Turkey,1305-3299,Yes,,,CUP
New Political Economy,1469-9923,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
New Political Science,1469-9931,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
New Review of Academic Librarianship,1740-7834,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
New Review of Children's Literature and Librarianship,1740-7885,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
New Review of Film and Television Studies,1740-7923,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
New Review of Hypermedia and Multimedia,1740-7842,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
New Review of Information Networking,1740-7869,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
New Surveys in the Classics,2052-8531,No,No OA available,,CUP
New Techno-Humanities,2664-3294,No,Society invoices APC - not on Elsevier systems,,Elsevier
New Testament Studies,1469-8145,Yes,,,CUP
New Theatre Quarterly,1474-0613,Yes,,,CUP
New West Indian Guide / Nieuwe West-Indische Gids,2213-4360,Yes,,,BRILL
New Writing,1943-3107,Yes,,,Taylor and Francis
New Zealand Economic Papers,1943-4863,Yes,,,Taylor and Francis
New Zealand Entomologist,1179-3430,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
New Zealand Journal of Agricultural Research,1175-8775,Yes,,,Taylor and Francis
New Zealand Journal of Botany,1175-8643,Yes,,,Taylor and Francis
New Zealand Journal of Crop and Horticultural Science,1175-8783,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
New Zealand Journal of Educational Studies,2199-4714,Yes,,,Springer Nature (Springer)
New Zealand Journal of Geology and Geophysics,1175-8791,Yes,,,Taylor and Francis
New Zealand Journal of Marine and Freshwater Research,1175-8805,Yes,,,Taylor and Francis
New Zealand Journal of Zoology,1175-8821,Yes,,,Taylor and Francis
New Zealand Veterinary Journal,1176-0710,Yes,,,Taylor and Francis
Nexus Network Journal,1522-4600,Yes,,,Springer Nature (Springer)
NFS Journal,2352-3646,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Nicotine & Tobacco Research,1469-994X,Yes,,,OUP
Nietzsche-Studien,2191-9259,Yes,,,De Gruyter
Nietzscheforschung,1613-0790,Yes,,,De Gruyter
Nineteenth-Century Contexts,1477-2663,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Nineteenth-Century Music Review,2044-8414,Yes,,,CUP
Nitric Oxide,1089-8603,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
NJAS: Impact in Agricultural and Life Sciences,2768-5241,No,Fully open access journal,,Taylor and Francis
Non-coding RNA Research,2468-0540,No,Journals owned and/or published by KeAi in China and where Elsevier does not have permission to include these in transformative agreements,,Elsevier
Nondestructive Testing and Evaluation,1477-2671,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Nonlinear Analysis,0362-546X,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Nonlinear Analysis: Hybrid Systems,1751-570X,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Nonlinear Analysis: Real World Applications,1468-1218,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Nonlinear Differential Equations and Applications NoDEA,1420-9004,Yes,,,Springer Nature (Springer)
Nonlinear Dynamics,1573-269X,Yes,,,Springer Nature (Springer)
Nonlinearity,1361-6544,Yes,,,IOP
NORA - Nordic Journal of Feminist and Gender Research,1502-394X,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Nordic Journal of Criminology,2578-9821,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Nordic Journal of Human Rights,1891-814X,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Nordic Journal of International Law,1571-8107,Yes,,,BRILL
Nordic Journal of Linguistics,1502-4717,Yes,,,CUP
Nordic Journal of Music Therapy,1944-8260,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Nordic Journal of Psychiatry,1502-4725,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Nordic Journal of Studies in Educational Policy,2002-0317,No,Fully open access journal,,Taylor and Francis
Nordic Psychology,1904-0016,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Nordic Pulp & Paper Research Journal,2000-0669,Yes,,,De Gruyter
Nordic Social Work Research,2156-8588,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
NORMA,1890-2146,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Norsk Geografisk Tidsskrift - Norwegian Journal of Geography,1502-5292,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
North American Actuarial Journal,2325-0453,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
North American Spine Society Journal (NASSJ),2666-5484,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Northern History,1745-8706,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Norwegian Archaeological Review,1502-7678,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Notebooks: The Journal for Studies on Power,2666-7185,Yes,,,BRILL
Notes & Queries,1471-6941,Yes,,,OUP
Notes and Records,1743-0178,Yes,,,The Royal Society
Notfall + Rettungsmedizin,1436-0578,Yes,,,Springer Nature (Springer)
Novum Testamentum,1568-5365,Yes,,,BRILL
NPG Neurologie - Psychiatrie - Gériatrie,1627-4830,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
NRIAG Journal of Astronomy and Geophysics,2090-9977,No,Fully open access journal,,Taylor and Francis
"NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin",1420-9144,Yes,,,Springer Nature (Springer)
Nuclear Analysis,2773-1839,No,Journals owned and/or published by KeAi in China and where Elsevier does not have permission to include these in transformative agreements,,Elsevier
Nuclear and Particle Physics Proceedings,2405-6014,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Nuclear Data Sheets,0090-3752,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Nuclear Engineering and Design,0029-5493,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Nuclear Engineering and Technology,1738-5733,No,This journal may subsidise OA - authors should check with each journal on submission,,Elsevier
Nuclear Fusion,1741-4326,Yes,,,IOP
"Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",0168-9002,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Nuclear Instruments and Methods in Physics Research Section B: Beam Interactions with Materials and Atoms,0168-583X,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Nuclear Materials and Energy,2352-1791,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Nuclear Medicine and Biology,0969-8051,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Nuclear Medicine and Molecular Imaging,1869-3482,Yes,,,Springer Nature (Springer)
Nuclear Physics A,0375-9474,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Nuclear Physics B,0550-3213,Yes,SCOAP3 Journals.  Open Access without APC available as part of SCOAP3 arrangements.,,Elsevier
Nuclear Physics News,1931-7336,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Nuclear Science and Engineering,1943-748X,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Nuclear Science and Techniques,2210-3147,Yes,,,Springer Nature (Springer)
Nuclear Technology,1943-7471,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
"Nucleosides, Nucleotides & Nucleic Acids",1532-2335,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Nucleus,1949-1042,No,Fully open access journal,,Taylor and Francis
Numen,1568-5276,Yes,,,BRILL
Numerical Algorithms,1572-9265,Yes,,,Springer Nature (Springer)
Numerical Analysis and Applications,1995-4247,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Numerical Functional Analysis and Optimization,1532-2467,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
"Numerical Heat Transfer, Part A: Applications",1521-0634,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
"Numerical Heat Transfer, Part B: Fundamentals",1521-0626,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Numerische Mathematik,0945-3245,Yes,,,Springer Nature (Springer)
Nuncius,1825-3911,Yes,,,BRILL
Nurse Education in Practice,1471-5953,Yes,,,Elsevier
Nurse Education Today,0260-6917,Yes,,,Elsevier
Nurse Leader,1541-4612,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Nursing & Residential Care,2052-2932,No,,,MA Healthcare
Nursing for Women's Health,1751-4851,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Nursing Outlook,0029-6554,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Nursing: Research and Reviews,2230-522X ,No,Fully open access journal,,Taylor and Francis
Nutrient Cycling in Agroecosystems,1573-0867,Yes,,,Springer Nature (Springer)
Nutrire,2316-7874,Yes,,,Springer Nature (Springer)
Nutrition,0899-9007,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Nutrition and Cancer,1532-7914,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Nutrition and Dietary Supplements,1179-1489 ,No,Fully open access journal,,Taylor and Francis
Nutrition Clinique et Métabolisme,0985-0562,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Nutrition Research,0271-5317,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Nutrition Research Reviews,1475-2700,Yes,,,CUP
Nutrition Reviews,1753-4887,Yes,,,OUP
"Nutrition, Metabolism & Cardiovascular Diseases",0939-4753,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Nutritional Neuroscience,1476-8305,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
OAH Magazine of History (1),1938-2340,Yes,,,OUP
Obere Extremität,1862-6602,Yes,,,Springer Nature (Springer)
Obesity Medicine,2451-8476,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Obesity Pillars,2667-3681,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Obesity Research & Clinical Practice,1871-403X,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Obesity Surgery,1708-0428,Yes,,,Springer Nature (Springer)
Occupational Health Science,2367-0142,Yes,,,Springer Nature (Springer)
Occupational Medicine,1471-8405,Yes,,,OUP
Occupational Therapy In Health Care,1541-3098,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Occupational Therapy in Mental Health,1541-3101,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Ocean & Coastal Management,0964-5691,Yes,,,Elsevier
Ocean Development & International Law,1521-0642,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Ocean Dynamics,1616-7228,Yes,,,Springer Nature (Springer)
Ocean Engineering,0029-8018,Yes,,,Elsevier
Ocean Modelling,1463-5003,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Ocean Science Journal,2005-7172,Yes,,,Springer Nature (Springer)
Ocean Yearbook Online,2211-6001,Yes,,,BRILL
Oceanologia,0078-3234,No,This journal may subsidise OA - authors should check with each journal on submission,,Elsevier
Oceanology,1531-8508,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Ocular Immunology and Inflammation,1744-5078,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Ocular Oncology and Pathology,,Yes,,,Karger
Odontology,1618-1255,Yes,,,Springer Nature (Springer)
Oecologia,1432-1939,Yes,,,Springer Nature (Springer)
Oil Crop Science,2096-2428,No,Journals owned and/or published by KeAi in China and where Elsevier does not have permission to include these in transformative agreements,,Elsevier
Old World: Journal of Ancient Africa and Eurasia,2667-0755,Yes,,,BRILL
Omega,0305-0483,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Oncogene,1476-5594,Yes,,,Springer Nature (Academic Journals on Nature.com)
OncoImmunology,2162-402X,No,Fully open access journal,,Taylor and Francis
Oncology,,Yes,,,Karger
Oncology Issues,2573-1777,No,OA not available,,Taylor and Francis
Oncology Research and Treatment,,Yes,,,Karger
OncoTargets and Therapy,1178-6930 ,No,Fully open access journal,,Taylor and Francis
One Earth,2590-3322,No,Cell Press and Lancet Title.  Open Access under the CAUL Agreement not included.  15% OA discount not included,,Elsevier
One Health,2352-7714,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Online Social Networks and Media,2468-6964,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Open Access Emergency Medicine,1179-1500 ,No,Fully open access journal,,Taylor and Francis
Open Access Journal of Clinical Trials,1179-1519 ,No,Fully open access journal,,Taylor and Francis
Open Access Journal of Contraception,1179-1527 ,No,Fully open access journal,,Taylor and Francis
Open Access Journal of Sports Medicine,1179-1543 ,No,Fully open access journal,,Taylor and Francis
Open Access Rheumatology: Research and Reviews,1179-156X ,No,Fully open access journal,,Taylor and Francis
Open Access Surgery,1178-7082 ,No,Fully open access journal,,Taylor and Francis
Open Biology,2046-2441,Yes,,,The Royal Society
Open Ceramics,2666-5395,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Open Economies Review,1573-708X,Yes,,,Springer Nature (Springer)
"Open Learning: The Journal of Open, Distance and e-Learning",1469-9958,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Open Respiratory Archives,2659-6636,No,Gold OA Title.  15% discount on APC charges,,Elsevier
OpenNano,2352-9520,No,Gold OA Title.  15% discount on APC charges,,Elsevier
"Opera Quarterly, The",1476-2870,Yes,,,OUP
Operational Research,1866-1505,Yes,,,Springer Nature (Springer)
Operations Management Research,1936-9743,Yes,,,Springer Nature (Springer)
Operations Research for Health Care,2211-6923,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Operations Research Forum,2662-2556,Yes,,,Springer Nature (Springer)
Operations Research Letters,0167-6377,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Operations Research Perspectives,2214-7160,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Operative Orthopädie und Traumatologie,1439-0981,Yes,,,Springer Nature (Springer)
Operative Techniques in Orthopaedics,1048-6666,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Operative Techniques in Otolaryngology - Head and Neck Surgery,1043-1810,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Operative Techniques in Sports Medicine,1060-1872,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Operative Techniques in Thoracic and Cardiovascular Surgery,1522-2942,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Ophthalmic Epidemiology,1744-5086,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Ophthalmic Genetics,1744-5094,Yes,,,Taylor and Francis
Ophthalmic Research,,Yes,,,Karger
Ophthalmologica,,Yes,,,Karger
Ophthalmology,0161-6420,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Ophthalmology Glaucoma,2589-4196,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Ophthalmology Retina,2468-6530,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Ophthalmology Science,2666-9145,No,Gold OA Title.  15% discount on APC charges,,Elsevier
OPSEARCH,0975-0320,Yes,,,Springer Nature (Springer)
Optical and Quantum Electronics,1572-817X,Yes,,,Springer Nature (Springer)
Optical Fiber Technology,1068-5200,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
